Nombre,Precio,Media,Total_puntos,Equipo,Puntos,Partidos,Minutos,Goles,Asistencias,Asistencias sin Gol,Centros,Despejes,Remates,Tiros,Recuperaciones,Perdidas,Penaltis fallados,Goles en contra,Rojas,Paradas,Penaltis cometidos,Amarillas,Seguna Amarilla,Penaltis provocados,Penaltis parados,Goles en PP
Torró,13.365.033€,,,C.A. Osasuna,86.0,18.0,916.0,3.0,1.0,1.0,12.0,3.0,11.0,10.0,56.0,127.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Bacca,485.515€,,,Villarreal CF,86.0,25.0,1546.0,0.0,1.0,0.0,1.0,40.0,10.0,8.0,125.0,200.0,0.0,21.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Vencedor,651.074€,,,Athletic Club,85.0,32.0,779.0,5.0,0.0,2.0,0.0,2.0,5.0,12.0,22.0,106.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Jota Peleteiro,524.370€,,,D. Alavés,85.0,37.0,1704.0,0.0,0.0,0.0,0.0,14.0,6.0,0.0,141.0,227.0,0.0,18.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0
Joel Robles,495.729€,,,Real Betis,84.0,30.0,1408.0,0.0,2.0,5.0,9.0,9.0,17.0,2.0,92.0,211.0,0.0,18.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0
Piqué,535.370€,,,FC Barcelona,84.0,37.0,1620.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,142.0,202.0,0.0,25.0,0.0,38.0,1.0,2.0,0.0,0.0,1.0,0.0
Ontiveros,27.535.770€,,,SD Huesca,84.0,20.0,1485.0,0.0,0.0,1.0,0.0,44.0,2.0,2.0,114.0,85.0,0.0,20.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Damián,501.185€,,,Getafe CF,83.0,28.0,914.0,2.0,1.0,3.0,13.0,5.0,34.0,10.0,78.0,172.0,0.0,18.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Trincao,522.800€,,,FC Barcelona,83.0,34.0,2425.0,1.0,0.0,0.0,28.0,33.0,22.0,3.0,179.0,542.0,0.0,30.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0
Kubo,557.935€,,,Getafe CF,83.0,38.0,683.0,3.0,2.0,0.0,1.0,2.0,27.0,12.0,33.0,121.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Lodi,590.417€,,,Atlético de Madrid,82.0,37.0,1080.0,1.0,1.0,2.0,4.0,7.0,27.0,12.0,68.0,195.0,0.0,13.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
Manu Vallejo,1.125.165€,,,Valencia CF,82.0,35.0,1122.0,1.0,2.0,4.0,20.0,14.0,19.0,3.0,90.0,210.0,0.0,11.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
