Nombre,Precio,Media,Total_puntos,Equipo,Puntos,Partidos,Minutos,Goles,Asistencias,Asistencias sin Gol,Centros,Despejes,Remates,Tiros,Recuperaciones,Perdidas,Penaltis fallados,Goles en contra,Rojas,Paradas,Penaltis cometidos,Amarillas,Seguna Amarilla,Penaltis provocados,Penaltis parados,Goles en PP
Juan Cruz,1.073.169€,,,Real Betis,1.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Iago Herrerin,1.152.174€,,,Valencia CF,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biel Farrés,1.093.401€,,,Girona FC,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mario Suárez,1.068.425€,,,Rayo Vallecano,0.0,34.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Álex Sala,1.097.091€,,,Girona FC,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kiko Casilla,1.135.092€,,,Getafe CF,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fuoli,1.150.998€,,,UD Almería,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saveljich,1.068.432€,,,Rayo Vallecano,0.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Cristian Rivero,1.180.743€,,,Valencia CF,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaume Domenech,1.163.509€,,,Valencia CF,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rojas,1.116.934€,,,UD Almería,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diego Alves,1.233.288€,,,RC Celta,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diego Conde,1.175.500€,,,Getafe CF,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fuidias,1.178.844€,,,Girona FC,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zubiaurre,1.195.128€,,,Real Sociedad,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dani Martín,1.133.877€,,,Real Betis,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M. Morro,1.130.753€,,,Rayo Vallecano,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arnau Tenas,1.197.292€,,,FC Barcelona,-1.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Pape Cheikh,1.188.331€,,,Elche CF,-3.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Oyarzabal,35.287.289€,,,Real Sociedad,226.0,33.0,2824.0,12.0,8.0,9.0,56.0,41.0,22.0,18.0,175.0,370.0,2.0,41.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
Isak,52.297.751€,,,Real Sociedad,224.0,33.0,2430.0,11.0,8.0,10.0,52.0,13.0,23.0,28.0,142.0,425.0,1.0,24.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Correa,43.708.655€,,,Atlético de Madrid,224.0,38.0,2359.0,17.0,2.0,3.0,6.0,7.0,37.0,45.0,53.0,252.0,1.0,22.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0
Modric,46.689.104€,,,Real Madrid,223.0,38.0,2411.0,9.0,8.0,14.0,6.0,12.0,49.0,25.0,140.0,384.0,0.0,14.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Griezmann,62.497.463€,,,FC Barcelona,218.0,36.0,2743.0,5.0,3.0,7.0,18.0,11.0,53.0,16.0,232.0,424.0,0.0,23.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Carrasco,57.762.699€,,,Atlético de Madrid,214.0,38.0,2621.0,13.0,7.0,9.0,11.0,11.0,26.0,36.0,107.0,253.0,1.0,31.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0
Parejo,81.561.288€,,,Villarreal CF,213.0,31.0,2187.0,6.0,10.0,10.0,23.0,10.0,64.0,24.0,167.0,447.0,0.0,13.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0
Casemiro,39.137.332€,,,Real Madrid,209.0,36.0,3119.0,3.0,4.0,7.0,54.0,18.0,35.0,9.0,272.0,398.0,0.0,43.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Canales,61.183.752€,,,Real Betis,206.0,34.0,2902.0,6.0,4.0,4.0,5.0,54.0,14.0,13.0,296.0,408.0,0.0,20.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0
Koundé,52.008.544€,,,Sevilla FC,203.0,30.0,2414.0,8.0,6.0,10.0,37.0,6.0,31.0,14.0,167.0,357.0,1.0,29.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Morales,44.283.183€,,,Levante UD,202.0,35.0,2975.0,2.0,1.0,1.0,2.0,100.0,28.0,6.0,224.0,311.0,0.0,28.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0
EnNesyri,30.000.666€,,,Sevilla FC,201.0,38.0,2454.0,13.0,3.0,6.0,21.0,10.0,31.0,27.0,110.0,374.0,1.0,42.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Remiro,40.691.729€,,,Real Sociedad,201.0,38.0,2312.0,18.0,0.0,5.0,1.0,22.0,14.0,31.0,50.0,253.0,0.0,24.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
Kroos,6.850.746€,,,Real Madrid,200.0,38.0,3420.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,277.0,347.0,0.0,38.0,0.0,68.0,0.0,0.0,0.0,0.0,1.0,0.0
Rafa Mir,49.722.606€,,,SD Huesca,194.0,31.0,2120.0,3.0,10.0,11.0,51.0,9.0,16.0,12.0,143.0,252.0,0.0,21.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
Asenjo,12.158.068€,,,Villarreal CF,192.0,38.0,2879.0,13.0,1.0,1.0,3.0,22.0,14.0,48.0,95.0,330.0,1.0,45.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
Javi Galán,4.354.741€,,,SD Huesca,190.0,38.0,3240.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,271.0,288.0,0.0,40.0,0.0,80.0,1.0,2.0,0.0,0.0,1.0,0.0
Jordi Alba,16.518.490€,,,FC Barcelona,189.0,37.0,3068.0,1.0,2.0,6.0,48.0,48.0,113.0,1.0,263.0,555.0,0.0,47.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Fernando,42.624.605€,,,Sevilla FC,188.0,36.0,3031.0,3.0,5.0,13.0,26.0,33.0,18.0,11.0,263.0,517.0,0.0,34.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0
Nolito,38.570.731€,,,RC Celta,188.0,35.0,2546.0,3.0,4.0,5.0,1.0,61.0,11.0,4.0,231.0,211.0,0.0,27.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
Fekir,13.853.548€,,,Real Betis,188.0,37.0,2626.0,7.0,5.0,9.0,11.0,17.0,29.0,23.0,198.0,383.0,0.0,38.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0
Edgar Badia,33.325.294€,,,Elche CF,186.0,33.0,2633.0,5.0,5.0,7.0,41.0,0.0,88.0,29.0,114.0,450.0,2.0,37.0,1.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0
Ferreiro,3.844.393€,,,SD Huesca,184.0,38.0,2700.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,282.0,286.0,0.0,46.0,0.0,95.0,0.0,0.0,0.0,0.0,3.0,0.0
Ter Stegen,3.001.404€,,,FC Barcelona,183.0,38.0,2539.0,2.0,4.0,5.0,85.0,7.0,45.0,12.0,179.0,492.0,0.0,34.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Rubén García,20.092.935€,,,C.A. Osasuna,183.0,31.0,2790.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,223.0,119.0,0.0,32.0,0.0,78.0,1.0,1.0,0.0,0.0,0.0,0.0
Jordán,6.011.626€,,,Sevilla FC,182.0,37.0,2735.0,3.0,5.0,8.0,58.0,15.0,23.0,9.0,185.0,553.0,0.0,38.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
Varane,30.354.711€,,,Real Madrid,181.0,35.0,2418.0,1.0,6.0,4.0,26.0,26.0,30.0,6.0,197.0,328.0,0.0,22.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0
Koke,26.487.974€,,,Atlético de Madrid,180.0,33.0,2716.0,2.0,0.0,0.0,0.0,108.0,3.0,5.0,186.0,210.0,0.0,23.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
Kike García,29.905.376€,,,SD Eibar,179.0,37.0,3025.0,1.0,2.0,3.0,20.0,36.0,26.0,7.0,256.0,384.0,0.0,22.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
Joselu,2.140.530€,,,D. Alavés,177.0,37.0,3100.0,12.0,2.0,2.0,6.0,29.0,35.0,36.0,134.0,531.0,0.0,49.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
Pedri,2.107.483€,,,FC Barcelona,177.0,37.0,3032.0,11.0,3.0,5.0,6.0,53.0,26.0,35.0,132.0,604.0,2.0,50.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Ocampos,46.737.027€,,,Sevilla FC,177.0,37.0,2429.0,3.0,3.0,5.0,3.0,5.0,28.0,9.0,172.0,331.0,0.0,26.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
Pau Torres,37.241.664€,,,Villarreal CF,177.0,34.0,2646.0,5.0,4.0,9.0,5.0,27.0,65.0,22.0,135.0,432.0,1.0,25.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0
Arambarri,31.994.153€,,,Getafe CF,177.0,36.0,2970.0,2.0,2.0,1.0,1.0,104.0,25.0,4.0,224.0,292.0,0.0,34.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0
Sergio Herrera,11.165.346€,,,C.A. Osasuna,176.0,36.0,2989.0,3.0,0.0,2.0,37.0,25.0,36.0,13.0,241.0,452.0,0.0,34.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
Dmitrovic,2.141.127€,,,SD Eibar,176.0,37.0,2957.0,0.0,0.0,1.0,0.0,47.0,1.0,0.0,358.0,546.0,0.0,40.0,0.0,89.0,1.0,2.0,0.0,0.0,2.0,0.0
Pacheco,3.025.642€,,,D. Alavés,175.0,36.0,3121.0,1.0,0.0,1.0,0.0,22.0,1.0,2.0,308.0,487.0,1.0,49.0,0.0,81.0,0.0,0.0,0.0,0.0,1.0,0.0
De Frutos,2.150.773€,,,Levante UD,174.0,38.0,3348.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,271.0,338.0,0.0,57.0,0.0,85.0,0.0,1.0,0.0,0.0,0.0,0.0
Unai Simón,3.806.428€,,,Athletic Club,174.0,37.0,2186.0,4.0,9.0,6.0,25.0,12.0,42.0,12.0,116.0,409.0,0.0,38.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0
Brais Méndez,3.089.323€,,,RC Celta,173.0,38.0,3330.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,290.0,319.0,0.0,40.0,0.0,69.0,1.0,1.0,0.0,0.0,1.0,0.0
Cucurella,5.783.798€,,,Getafe CF,173.0,37.0,2676.0,9.0,0.0,5.0,8.0,27.0,12.0,23.0,190.0,424.0,0.0,41.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0
Savic,13.355.738€,,,Atlético de Madrid,173.0,37.0,3197.0,3.0,2.0,4.0,29.0,17.0,25.0,8.0,245.0,585.0,0.0,36.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
Navas,34.840.192€,,,Sevilla FC,172.0,34.0,2954.0,1.0,0.0,0.0,1.0,100.0,6.0,2.0,202.0,275.0,0.0,20.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0
Trippier,31.522.414€,,,Atlético de Madrid,172.0,35.0,2833.0,0.0,6.0,8.0,55.0,55.0,19.0,2.0,211.0,487.0,0.0,31.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Alex Berenguer,52.756.520€,,,Athletic Club,171.0,28.0,2477.0,0.0,6.0,7.0,42.0,47.0,18.0,1.0,187.0,447.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bryan Gil,5.415.001€,,,SD Eibar,170.0,35.0,2288.0,8.0,4.0,5.0,29.0,21.0,35.0,15.0,129.0,457.0,0.0,23.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0
David García,11.968.372€,,,C.A. Osasuna,170.0,30.0,2281.0,4.0,3.0,5.0,49.0,5.0,62.0,17.0,159.0,508.0,0.0,29.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
Denis Suárez,7.312.366€,,,RC Celta,169.0,36.0,3150.0,1.0,0.0,1.0,0.0,167.0,2.0,2.0,231.0,399.0,0.0,41.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,1.0
Djené,20.015.891€,,,Getafe CF,168.0,36.0,2863.0,0.0,9.0,10.0,36.0,14.0,36.0,3.0,202.0,494.0,0.0,51.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
Diego Carlos,10.327.638€,,,Sevilla FC,168.0,35.0,3035.0,0.0,1.0,0.0,2.0,98.0,12.0,0.0,283.0,323.0,0.0,36.0,1.0,0.0,3.0,6.0,1.0,1.0,0.0,0.0
Moi Gómez,32.488.637€,,,Villarreal CF,168.0,34.0,2790.0,1.0,0.0,1.0,0.0,109.0,7.0,5.0,193.0,202.0,0.0,26.0,0.0,0.0,2.0,9.0,1.0,0.0,0.0,1.0
Santi Mina,14.796.635€,,,RC Celta,166.0,35.0,2570.0,4.0,0.0,4.0,15.0,13.0,37.0,11.0,174.0,333.0,0.0,34.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Fidel,2.578.394€,,,Elche CF,165.0,35.0,2421.0,12.0,3.0,5.0,1.0,16.0,10.0,23.0,85.0,297.0,0.0,42.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0
Suso,1.230.931€,,,Sevilla FC,165.0,30.0,2401.0,6.0,3.0,6.0,56.0,14.0,50.0,9.0,155.0,495.0,1.0,31.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
Dembélé,7.225.308€,,,FC Barcelona,165.0,34.0,2230.0,3.0,4.0,5.0,32.0,5.0,54.0,17.0,91.0,333.0,0.0,20.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Guido Rodríguez,44.192.492€,,,Real Betis,164.0,33.0,1780.0,6.0,3.0,6.0,22.0,0.0,62.0,22.0,70.0,314.0,0.0,19.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Williams,12.598.083€,,,Athletic Club,163.0,34.0,2779.0,1.0,0.0,1.0,1.0,49.0,33.0,8.0,285.0,310.0,0.0,44.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0
Portu,9.738.487€,,,Real Sociedad,163.0,38.0,2392.0,6.0,6.0,8.0,12.0,21.0,34.0,20.0,62.0,355.0,0.0,31.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Gabriel Paulista,10.307.647€,,,Valencia CF,163.0,38.0,2189.0,8.0,3.0,4.0,11.0,3.0,14.0,14.0,93.0,274.0,0.0,26.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Trigueros,11.946.431€,,,Villarreal CF,161.0,31.0,2701.0,3.0,1.0,1.0,1.0,129.0,3.0,5.0,215.0,195.0,0.0,42.0,0.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0
Busquets,8.067.241€,,,FC Barcelona,160.0,36.0,2541.0,1.0,7.0,9.0,7.0,17.0,26.0,8.0,173.0,317.0,0.0,31.0,1.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0
Roger,24.159.244€,,,Levante UD,160.0,36.0,2530.0,0.0,5.0,6.0,0.0,18.0,7.0,1.0,232.0,272.0,0.0,30.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
Raúl Guti,3.556.284€,,,Elche CF,158.0,36.0,2209.0,12.0,4.0,4.0,3.0,6.0,14.0,23.0,53.0,248.0,2.0,39.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Ledesma,963.639€,,,Cádiz CF,157.0,37.0,2873.0,3.0,1.0,1.0,2.0,21.0,28.0,6.0,235.0,306.0,0.0,39.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Albiol,827.907€,,,Villarreal CF,157.0,35.0,2880.0,0.0,0.0,0.0,0.0,39.0,1.0,0.0,310.0,529.0,0.0,45.0,0.0,83.0,1.0,0.0,0.0,0.0,1.0,0.0
Asensio,15.477.186€,,,Real Madrid,156.0,37.0,3119.0,0.0,0.0,1.0,2.0,142.0,3.0,1.0,194.0,258.0,0.0,42.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
Guedes,25.879.523€,,,Valencia CF,156.0,36.0,1876.0,5.0,2.0,3.0,24.0,8.0,29.0,13.0,95.0,279.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Rakitic,9.244.455€,,,Sevilla FC,153.0,36.0,2310.0,5.0,5.0,5.0,14.0,4.0,62.0,15.0,105.0,375.0,0.0,33.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Maksimovic,8.075.815€,,,Getafe CF,153.0,37.0,2241.0,4.0,2.0,1.0,10.0,28.0,9.0,11.0,179.0,306.0,0.0,21.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0
Machís,3.446.853€,,,Granada CF,152.0,35.0,2741.0,1.0,1.0,1.0,11.0,38.0,14.0,6.0,188.0,240.0,0.0,30.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0
Negredo,4.122.153€,,,Cádiz CF,151.0,31.0,1956.0,4.0,5.0,8.0,23.0,10.0,43.0,19.0,143.0,355.0,1.0,39.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Mandi,2.510.992€,,,Real Betis,151.0,35.0,2215.0,8.0,4.0,7.0,0.0,19.0,29.0,23.0,48.0,350.0,0.0,41.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0
Januzaj,7.996.775€,,,Real Sociedad,150.0,33.0,2394.0,3.0,1.0,3.0,0.0,88.0,2.0,7.0,168.0,146.0,0.0,31.0,1.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0
Óscar Plano,3.847.395€,,,Real Valladolid,150.0,32.0,1010.0,4.0,5.0,9.0,27.0,3.0,46.0,13.0,62.0,255.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
Jaume Domenech,1.530.975€,,,Valencia CF,149.0,36.0,2526.0,5.0,5.0,2.0,8.0,37.0,15.0,10.0,181.0,320.0,0.0,43.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Muniain,1.217.036€,,,Athletic Club,148.0,38.0,2520.0,0.0,0.0,0.0,0.0,32.0,1.0,0.0,225.0,283.0,0.0,42.0,0.0,90.0,0.0,1.0,0.0,0.0,2.0,0.0
Le Normand,8.021.153€,,,Real Sociedad,148.0,29.0,1957.0,5.0,3.0,3.0,18.0,1.0,40.0,11.0,102.0,296.0,0.0,26.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Hermoso,10.956.880€,,,Atlético de Madrid,147.0,36.0,2749.0,0.0,1.0,1.0,2.0,83.0,4.0,1.0,175.0,275.0,0.0,31.0,1.0,0.0,1.0,5.0,0.0,2.0,0.0,0.0
Lucas Boyé,26.726.816€,,,Elche CF,147.0,35.0,2583.0,1.0,1.0,0.0,3.0,64.0,8.0,5.0,185.0,353.0,0.0,17.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0
Tapia,557.269€,,,RC Celta,147.0,34.0,2705.0,7.0,2.0,1.0,2.0,20.0,58.0,23.0,114.0,453.0,0.0,41.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0
Melero,4.091.716€,,,Levante UD,146.0,33.0,2710.0,0.0,1.0,0.0,0.0,67.0,26.0,5.0,282.0,366.0,0.0,41.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
João Félix,2.994.691€,,,Atlético de Madrid,146.0,30.0,1856.0,7.0,1.0,2.0,0.0,22.0,13.0,9.0,135.0,176.0,0.0,33.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Aitor Fdez,16.741.775€,,,Levante UD,146.0,31.0,1570.0,7.0,5.0,8.0,1.0,2.0,30.0,18.0,68.0,234.0,1.0,14.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0
Luis Rioja,1.073.312€,,,D. Alavés,145.0,36.0,2610.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,248.0,221.0,0.0,44.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0
David Soria,552.213€,,,Getafe CF,144.0,38.0,2100.0,4.0,2.0,2.0,24.0,26.0,38.0,10.0,125.0,333.0,0.0,39.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0
Gayá,1.196.747€,,,Valencia CF,144.0,38.0,2520.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,267.0,450.0,0.0,30.0,0.0,53.0,0.0,2.0,0.0,0.0,1.0,0.0
Vinícius Jr,15.086.802€,,,Real Madrid,144.0,34.0,2847.0,1.0,7.0,6.0,19.0,53.0,32.0,5.0,217.0,417.0,0.0,45.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0
Orellana,13.244.501€,,,Real Valladolid,144.0,37.0,1970.0,3.0,3.0,9.0,7.0,4.0,43.0,14.0,100.0,311.0,0.0,17.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0
Mikel Rico,3.208.686€,,,SD Huesca,143.0,31.0,2153.0,6.0,2.0,4.0,23.0,7.0,28.0,16.0,153.0,372.0,0.0,31.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Aridane,626.129€,,,C.A. Osasuna,143.0,33.0,2200.0,1.0,4.0,1.0,8.0,21.0,21.0,8.0,163.0,280.0,0.0,30.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Roberto Torres,16.190.917€,,,C.A. Osasuna,142.0,25.0,2028.0,0.0,0.0,1.0,0.0,121.0,4.0,0.0,175.0,171.0,0.0,22.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Mikel Merino,1.453.687€,,,Real Sociedad,142.0,35.0,1889.0,7.0,1.0,2.0,32.0,12.0,17.0,16.0,132.0,325.0,1.0,33.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Siovas,9.425.870€,,,SD Huesca,142.0,27.0,2157.0,2.0,4.0,5.0,3.0,25.0,32.0,11.0,207.0,393.0,0.0,22.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Josan,1.031.088€,,,Elche CF,140.0,37.0,3072.0,2.0,0.0,0.0,1.0,121.0,9.0,10.0,224.0,379.0,0.0,49.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Felipe,1.141.541€,,,Atlético de Madrid,140.0,36.0,1931.0,4.0,2.0,1.0,23.0,17.0,38.0,8.0,122.0,306.0,0.0,28.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Jonsson,9.620.201€,,,Cádiz CF,139.0,37.0,2052.0,0.0,0.0,1.0,0.0,126.0,3.0,2.0,160.0,172.0,0.0,18.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0
Gorosabel,887.222€,,,Real Sociedad,139.0,36.0,2629.0,0.0,0.0,3.0,1.0,42.0,16.0,2.0,191.0,204.0,0.0,38.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0
Wass,5.714.120€,,,Valencia CF,139.0,36.0,2388.0,0.0,1.0,4.0,22.0,34.0,10.0,2.0,157.0,367.0,0.0,23.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
Emerson,4.105.454€,,,Real Betis,139.0,37.0,2970.0,4.0,1.0,0.0,13.0,61.0,9.0,14.0,200.0,428.0,0.0,44.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
Rui Silva,10.094.737€,,,Granada CF,138.0,33.0,2902.0,1.0,4.0,5.0,19.0,81.0,23.0,3.0,222.0,499.0,0.0,38.0,1.0,0.0,1.0,9.0,0.0,1.0,0.0,1.0
Lucas Pérez,1.392.056€,,,D. Alavés,138.0,34.0,2880.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,273.0,487.0,0.0,55.0,0.0,83.0,2.0,1.0,0.0,0.0,4.0,0.0
Malsa,2.370.217€,,,Levante UD,138.0,32.0,1768.0,4.0,4.0,4.0,61.0,2.0,28.0,14.0,76.0,362.0,1.0,28.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Moncayola,547.861€,,,C.A. Osasuna,137.0,36.0,2342.0,1.0,0.0,0.0,0.0,37.0,18.0,7.0,249.0,275.0,0.0,37.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Tete Morente,791.085€,,,Elche CF,137.0,36.0,2663.0,2.0,0.0,1.0,7.0,37.0,8.0,10.0,229.0,276.0,0.0,39.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0
Edu Expósito,568.582€,,,SD Eibar,137.0,34.0,2023.0,2.0,5.0,3.0,22.0,26.0,43.0,4.0,111.0,313.0,0.0,29.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
