Nombre,Precio,Media,Total_puntos
O. Mascarell,↓ 245.000,"2,5",20
T. Lato,↑ 244.000,"3,2",29
J. Arnaiz,↑ 243.000,"3,1",25
M. Cho,↓ 227.000,"2,1",23
V. Chust,↑ 223.000,"2,5",5
A. Herrera,↑ 219.000,"3,6",25
Á. Pozo,↑ 219.000,"1,4",13
B. Brereton Díaz,↑ 215.000,"1,8",18
J. Llabrés,↑ 215.000,"2,4",17
S. Comesaña,↑ 214.000,"2,9",26
P. Torre,↑ 214.000,"2,4",19
W. Manafá,↑ 214.000,"0,7",2
J. Zaldua,↑ 212.000,"2,0",6
R. Fernández,↑ 208.000,"4,0",12
C. Romero,↑ 208.000,"3,0",12
H. Mendes,↑ 207.000,"1,2",7
N. Maraš,↑ 207.000,"0,0",0
U. Marrero,↑ 204.000,"0,0",0
R. Visus,↑ 203.000,"2,0",2
P. Ibáñez,↑ 202.000,"2,1",23
M. Calderón,↑ 198.000,"0,0",0
R. García de Haro,↓ 195.000,"2,0",26
C. Montes,↑ 195.000,"1,4",7
P. Marín,↑ 195.000,"0,0",0
J. Jordan,↑ 194.000,"2,7",8
J. Mari,↑ 194.000,"1,5",3
M. Morlanes,↑ 193.000,"2,1",21
Á. Negredo,↑ 193.000,"2,0",8
D. Fuzato,↑ 193.000,"0,0",0
J. Solís,↑ 193.000,"0,0",0
A. Guardado,↑ 190.000,"2,9",26
Á. Lemos,↑ 190.000,"3,0",9
L. Vinicius,↑ 189.000,"1,7",12
Juanpe,↑ 189.000,"2,2",11
I. Grbić,↑ 189.000,"0,0",0
R. Sobrino,↓ 188.000,"2,6",31
M. Arambarri,↑ 188.000,"3,1",22
K. Femenía,↓ 188.000,"2,2",13
A. Puigmal,↑ 188.000,"1,5",12
S. Weissman,↑ 188.000,"2,3",9
K. Salas,↓ 185.000,"4,7",14
D. Mariño,↑ 185.000,"3,0",3
C. Rivero,↑ 185.000,"0,0",0
J. Galán,↑ 184.000,"2,8",14
A. Fernández,↓ 184.000,"2,5",10
R. Yaremchuk,↑ 183.000,"1,4",10
F. San Emeterio,↑ 183.000,"2,0",6
F. Gattoni,↑ 182.000,"0,0",0
J. Doménech,↓ 182.000,"0,0",0
A. Villalibre,↓ 181.000,"2,9",20
U. Gómez,↑ 181.000,"2,5",20
J. Copete,↑ 181.000,"2,3",16
N. Tenaglia,↑ 181.000,"1,8",9
M. Sanca,↓ 181.000,"1,2",6
M. Pascual,↓ 181.000,"0,0",0
P. Reina,↓ 181.000,"0,0",0
S. Ruiz,↑ 177.000,"2,9",35
P. Nolaskoain,↑ 177.000,"0,0",0
K. Fernandes,↑ 176.000,"2,8",17
R. Tapia,↓ 176.000,"1,2",6
C. Herrera,↓ 176.000,"1,3",4
N. Vidal,↓ 175.000,"5,7",17
T. Villa,↓ 175.000,"0,0",0
R. Falcao,↓ 173.000,"3,0",21
B. García,↓ 173.000,"0,0",0
M. Gabbia,↓ 172.000,"2,7",19
B. Prados,↑ 172.000,"1,7",12
J. Vallejo,↑ 171.000,"1,5",3
F. Cervi,↑ 170.000,"2,3",14
D. Cárdenas,↓ 170.000,"0,0",0
J. Owono,↑ 170.000,"0,0",0
Ó. Melendo,↑ 168.000,"2,5",30
C. Özkacar,↑ 167.000,"2,3",18
O. Mfulu,↓ 167.000,"1,5",6
Y. Sabaly,↓ 166.000,"4,7",14
M. Guiu,↓ 166.000,"11,0",11
Ç. Söyüncü,↑ 166.000,"2,8",11
C. Dominguez,↑ 166.000,"2,3",7
J. García,↑ 166.000,"0,0",0
H. González,↑ 165.000,"1,4",7
B. Ramírez,↑ 164.000,"4,2",21
D. Foulquier,↑ 164.000,"2,1",19
H. Guillamón,↑ 164.000,"2,0",18
M. Alonso,↑ 164.000,"2,8",11
A. López,↑ 164.000,"0,0",0
J. Callejón,↓ 163.000,"2,4",29
R. Mir,↑ 163.000,"2,3",21
Pejiño,↓ 163.000,"2,5",20
I. Alejo,↑ 162.000,"2,7",35
J. Carlos Martín,↓ 162.000,"0,0",0
J. Agirrezabala,↑ 162.000,"0,0",0
V. Fernández,↓ 161.000,"2,1",23
J. Pacheco,↓ 161.000,"2,7",19
D. Sinkgraven,↓ 161.000,"1,0",3
S. Mitrović,↓ 160.000,"3,4",31
J. Cruz,160.000,"3,6",29
I. Muñoz,↓ 160.000,"4,0",28
M. Rubio,160.000,"4,0",28
R. Terrats,160.000,"2,8",28
K. Barja,↓ 160.000,"2,7",27
A. Ndiaye,160.000,"2,5",27
H. Sotelo,↓ 160.000,"3,4",24
A. Vinícius,160.000,"2,6",23
C. Benavídez,↓ 160.000,"2,4",22
J. Aidoo,160.000,"3,0",18
A. Ruibal,160.000,"2,8",17
A. Mandi,160.000,"2,4",17
X. Alkain,↓ 160.000,"2,4",17
W. Swedberg,160.000,"3,2",16
M. Ristić,160.000,"3,8",15
J. Meré,160.000,"2,5",15
N. Petrović,↓ 160.000,"2,1",15
M. Pubill,160.000,"3,3",13
I. Koné,160.000,"1,6",13
D. Duarte,160.000,"1,5",12
R. García,160.000,"1,8",11
I. García,160.000,"2,5",10
Y. Álvarez,160.000,"2,0",10
D. Suárez,160.000,"2,3",9
P. Gozálbez,↓ 160.000,"1,8",9
S. Guardiola,↓ 160.000,"1,5",9
J. Cruz,160.000,"2,0",8
S. Van der Heyden,160.000,"2,0",8
C. Lozano,↓ 160.000,"1,6",8
M. Rodríguez,↓ 160.000,"1,2",7
J. Herrando,↓ 160.000,"3,0",6
J. Ander Olasagasti,160.000,"2,0",6
V. Díaz,160.000,"1,5",6
J. Vázquez,160.000,"2,5",5
M. Adu Ares,160.000,"2,5",5
M. Mbaye,↓ 160.000,"2,5",5
F. Angileri,160.000,"1,7",5
M. Bartra,↓ 160.000,"1,7",5
P. Chavarría,↓ 160.000,"1,7",5
S. Altimira,↓ 160.000,"2,0",4
M. Dominguez,160.000,"1,3",4
Á. Odriozola,160.000,"3,0",3
A. Januzaj,160.000,"1,5",3
A. Perea,↓ 160.000,"1,5",3
F. Martínez,↓ 160.000,"1,5",3
J. Karrikaburu,↓ 160.000,"1,5",3
M. Milovanovic,160.000,"1,5",3
U. González,↓ 160.000,"1,5",3
D. Mendez,↓ 160.000,"2,0",2
E. Curbelo,↓ 160.000,"2,0",2
I. Kébé,160.000,"1,0",2
A. Centelles,160.000,"0,7",2
T. Lemar,↓ 160.000,"0,7",2
R. Navarro,160.000,"0,3",2
B. Espinosa,160.000,"1,0",1
C. Tárrega,160.000,"1,0",1
S. Clúa,↓ 160.000,"1,0",1
A. Escandell,↓ 160.000,"0,0",0
A. Marchesín,↓ 160.000,"0,0",0
A. Marí,↓ 160.000,"0,0",0
D. Brašanac,160.000,"0,0",0
D. Greif,160.000,"0,0",0
F. González,↓ 160.000,"0,0",0
F. Coquelin,160.000,"0,0",0
G. Simeone,160.000,"0,0",0
J. Ángel Pozo,↓ 160.000,"0,0",0
Marcão,160.000,"0,0",0
M. Merquelanz,160.000,"0,0",0
M. Tejón,↓ 160.000,"0,0",0
P. Cuéllar,160.000,"0,0",0
T. Fuidias,160.000,"0,0",0
U. García,↓ 160.000,"0,0",0
Vitolo,160.000,"0,0",0
