Nombre_x,Precio_x,Media,Total_puntos,posicion,equipo,Partidos,Minutos,Goles,Asistencias,Asistencias sin Gol,Centros,Despejes,Remates,Tiros,Recuperaciones,Perdidas,Penaltis fallados,Goles en contra,Rojas,Paradas,Penaltis cometidos,Amarillas,Seguna Amarilla,Penaltis provocados,Penaltis parados,Goles en PP
O. Mfulu,206000,1.4,7,mediocentro,Unión Deportiva Las Palmas,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Á. Odriozola,232000,3.0,6,defensa,Real Sociedad de Fútbol,9.0,45.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Á. Odriozola,232000,3.0,6,defensa,Real Sociedad de Fútbol,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J. Martín,160000,3.0,6,mediocentro,Getafe Club de Fútbol,11.0,705.0,2.0,2.0,4.0,9.0,6.0,7.0,6.0,37.0,100.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
J. Vallejo,249000,2.0,6,defensa,Granada Club de Fútbol,,,,,,,,,,,,,,,,,,,,,
F. San Emeterio,160000,2.0,6,mediocentro,Cádiz Club de Fútbol,13.0,118.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,27.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V. Díaz,163000,1.5,6,defensa,Granada Club de Fútbol,,,,,,,,,,,,,,,,,,,,,
V. Chust,411000,1.2,6,defensa,Cádiz Club de Fútbol,5.0,156.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,8.0,18.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V. Chust,411000,1.2,6,defensa,Cádiz Club de Fútbol,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M. Sanca,160000,1.2,6,delantero,Unión Deportiva Almería,,,,,,,,,,,,,,,,,,,,,
É. Militão,2659000,5.0,5,defensa,Real Madrid Club de Fútbol,1.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
É. Militão,2659000,5.0,5,defensa,Real Madrid Club de Fútbol,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B. Méndez,1179000,5.0,5,defensa,Granada Club de Fútbol,10.0,866.0,2.0,1.0,3.0,5.0,10.0,26.0,4.0,76.0,170.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
M. Bartra,200000,1.7,5,defensa,Real Betis Balompié,5.0,225.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,17.0,19.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
M. Bartra,200000,1.7,5,defensa,Real Betis Balompié,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F. Angileri,209000,1.3,5,defensa,Getafe Club de Fútbol,13.0,75.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,10.0,14.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
F. Angileri,209000,1.3,5,defensa,Getafe Club de Fútbol,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J. Solís,165000,0.8,5,mediocentro,Girona Fútbol Club,,,,,,,,,,,,,,,,,,,,,
A. Batalla,1479000,4.0,4,portero,Granada Club de Fútbol,,,,,,,,,,,,,,,,,,,,,
U. García,189000,4.0,4,defensa,Club Atlético Osasuna,14.0,1260.0,3.0,4.0,5.0,38.0,27.0,3.0,5.0,102.0,160.0,0.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
U. García,189000,4.0,4,defensa,Club Atlético Osasuna,13.0,1098.0,1.0,0.0,1.0,0.0,19.0,5.0,5.0,84.0,113.0,0.0,13.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
U. García,189000,4.0,4,defensa,Club Atlético Osasuna,13.0,649.0,0.0,4.0,6.0,3.0,20.0,5.0,3.0,38.0,80.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
U. García,189000,4.0,4,defensa,Club Atlético Osasuna,12.0,713.0,2.0,1.0,2.0,7.0,10.0,4.0,3.0,55.0,153.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U. García,189000,4.0,4,defensa,Club Atlético Osasuna,14.0,688.0,2.0,0.0,1.0,1.0,8.0,8.0,12.0,24.0,98.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
U. García,189000,4.0,4,defensa,Club Atlético Osasuna,12.0,871.0,0.0,2.0,2.0,1.0,6.0,5.0,2.0,47.0,85.0,0.0,13.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
U. García,189000,4.0,4,defensa,Club Atlético Osasuna,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U. García,189000,4.0,4,defensa,Club Atlético Osasuna,12.0,400.0,1.0,0.0,0.0,0.0,4.0,1.0,3.0,27.0,33.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
U. García,189000,4.0,4,defensa,Club Atlético Osasuna,14.0,77.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,17.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
U. García,189000,4.0,4,defensa,Club Atlético Osasuna,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S. Papastathopoulos,591000,2.0,4,defensa,Real Betis Balompié,,,,,,,,,,,,,,,,,,,,,
F. Coquelin,160000,2.0,4,mediocentro,Villarreal Club de Fútbol,,,,,,,,,,,,,,,,,,,,,
M. Dominguez,166000,1.3,4,mediocentro,Valencia Club de Fútbol,,,,,,,,,,,,,,,,,,,,,
M. Díaz,162000,1.0,4,delantero,Sevilla Fútbol Club,,,,,,,,,,,,,,,,,,,,,
M. Arezo,267000,3.0,3,delantero,Granada Club de Fútbol,,,,,,,,,,,,,,,,,,,,,
D. Mariño,189000,3.0,3,portero,Unión Deportiva Almería,14.0,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
D. Mariño,189000,3.0,3,portero,Unión Deportiva Almería,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N. Fekir,5293000,1.5,3,mediocentro,Real Betis Balompié,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N. Fekir,5293000,1.5,3,mediocentro,Real Betis Balompié,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J. Mari,168000,1.5,3,mediocentro,Cádiz Club de Fútbol,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
J. Mari,168000,1.5,3,mediocentro,Cádiz Club de Fútbol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F. Martínez,163000,1.5,3,portero,Unión Deportiva Almería,11.0,543.0,0.0,0.0,0.0,0.0,24.0,0.0,1.0,41.0,63.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
A. Marí,160000,1.5,3,delantero,Valencia Club de Fútbol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U. González,160000,1.5,3,mediocentro,Real Sociedad de Fútbol,14.0,833.0,0.0,0.0,0.0,5.0,11.0,3.0,2.0,57.0,121.0,0.0,12.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
U. González,160000,1.5,3,mediocentro,Real Sociedad de Fútbol,5.0,267.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,23.0,45.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U. González,160000,1.5,3,mediocentro,Real Sociedad de Fútbol,9.0,31.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M. Milovanovic,167000,1.0,3,delantero,Unión Deportiva Almería,,,,,,,,,,,,,,,,,,,,,
E. Ünal,1977000,2.0,2,delantero,Getafe Club de Fútbol,,,,,,,,,,,,,,,,,,,,,
E. Bailly,1351000,2.0,2,defensa,Villarreal Club de Fútbol,,,,,,,,,,,,,,,,,,,,,
C. Vicente,1054000,2.0,2,delantero,Deportivo Alavés,,,,,,,,,,,,,,,,,,,,,
G. Simeone,607000,2.0,2,delantero,Deportivo Alavés,14.0,877.0,0.0,1.0,0.0,0.0,14.0,8.0,4.0,67.0,104.0,0.0,17.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0
U. Marrero,544000,2.0,2,portero,Real Sociedad de Fútbol,,,,,,,,,,,,,,,,,,,,,
R. Mandava,400000,2.0,2,defensa,Club Atlético de Madrid,,,,,,,,,,,,,,,,,,,,,
J. Magunazelaia,191000,2.0,2,delantero,Real Sociedad de Fútbol,,,,,,,,,,,,,,,,,,,,,
E. Curbelo,187000,2.0,2,defensa,Unión Deportiva Las Palmas,13.0,66.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,15.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
E. Curbelo,187000,2.0,2,defensa,Unión Deportiva Las Palmas,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R. Visus,175000,2.0,2,defensa,Real Betis Balompié,,,,,,,,,,,,,,,,,,,,,
D. Mendez,174000,2.0,2,mediocentro,Rayo Vallecano de Madrid,,,,,,,,,,,,,,,,,,,,,
