Nombre,Precio,Media,Total_puntos,posicion,link_equipo
Gavi,↓ 5.043.000,"6,0",72,3,https://cdn.gomister.com/file/cdn-common/teams/3.png?version=20240121
G. Villar,↑ 3.504.000,"4,0",72,3,https://cdn.gomister.com/file/cdn-common/teams/10.png?version=20240121
S. Ñíguez,↓ 3.117.000,"3,8",72,3,https://cdn.gomister.com/file/cdn-common/teams/2.png?version=20240121
T. Stegen,↓ 5.720.000,"5,5",71,1,https://cdn.gomister.com/file/cdn-common/teams/3.png?version=20240121
D. Rico,↑ 9.754.000,"4,7",71,2,https://cdn.gomister.com/file/cdn-common/teams/9.png?version=20240121
M. Hermoso,↑ 10.037.000,"4,2",71,2,https://cdn.gomister.com/file/cdn-common/teams/2.png?version=20240121
R. Duarte,↑ 1.057.000,"4,2",71,2,https://cdn.gomister.com/file/cdn-common/teams/48.png?version=20240121
A. Pedrosa,↓ 7.110.000,"3,9",71,2,https://cdn.gomister.com/file/cdn-common/teams/17.png?version=20240121
S. Darder,↓ 8.619.000,"3,7",71,3,https://cdn.gomister.com/file/cdn-common/teams/408.png?version=20240121
M. El Haddadi,↑ 5.111.000,"3,4",71,4,https://cdn.gomister.com/file/cdn-common/teams/11.png?version=20240121
E. García,↓ 8.459.000,"4,4",70,2,https://cdn.gomister.com/file/cdn-common/teams/222.png?version=20240121
Joselu,↓ 10.609.000,"3,7",70,4,https://cdn.gomister.com/file/cdn-common/teams/15.png?version=20240121
J. Areso,↑ 2.476.000,"3,7",70,2,https://cdn.gomister.com/file/cdn-common/teams/50.png?version=20240121
Koke,↓ 7.662.000,"4,6",69,3,https://cdn.gomister.com/file/cdn-common/teams/2.png?version=20240121
G. Gumbau,↓ 2.851.000,"3,8",69,3,https://cdn.gomister.com/file/cdn-common/teams/10.png?version=20240121
P. Ciss,↓ 1.701.000,"3,8",69,3,https://cdn.gomister.com/file/cdn-common/teams/14.png?version=20240121
C. Larin,↑ 5.166.000,"3,5",69,4,https://cdn.gomister.com/file/cdn-common/teams/408.png?version=20240121
A. Raíllo,↑ 8.819.000,"6,2",68,2,https://cdn.gomister.com/file/cdn-common/teams/408.png?version=20240121
