Nombre,Equipo,Precio,Puntos,Partidos,Minutos,Goles,Asistencias,Asistencias sin Gol,Centros,Despejes,Remates,Tiros,Recuperaciones,Perdidas,Penaltis fallados,Goles en contra,Rojas,Paradas,Penaltis cometidos,Amarillas,Seguna Amarilla,Penaltis provocados,Penaltis parados,Goles en PP
Kubo,RCD Mallorca,1.552.316€,91,29,1605,1,0,2,17,4,39,9,111,280,0,33,0,0,0,4,0,0,0,0
Vezo,Levante UD,1.502.796€,91,34,2420,0,0,1,0,101,6,4,176,236,0,55,0,0,1,4,0,1,0,0
De Marcos,Athletic Club,1.551.597€,90,34,1685,1,2,4,8,27,4,3,140,307,0,13,0,0,0,4,0,0,0,0
Lekue,Athletic Club,1.508.211€,90,33,1925,0,2,4,17,52,12,1,165,387,0,23,0,0,0,3,0,0,0,0
Cillessen,Valencia CF,1.531.503€,89,29,1458,0,1,0,0,14,0,0,125,148,0,29,0,50,0,1,0,0,1,0
Alejo,Cádiz CF,1.502.068€,89,27,1067,2,2,2,26,14,15,4,83,229,0,9,0,0,1,7,0,0,0,0
Edgar,Real Betis,1.508.580€,88,37,1457,1,1,3,0,80,4,1,94,115,0,21,0,0,0,6,0,0,0,0
De Galarreta,RCD Mallorca,1.506.232€,88,22,1386,0,0,1,2,19,23,3,134,186,0,18,0,0,0,4,0,0,0,0
Yangel Herrera,RCD Espanyol,1.503.024€,87,24,1651,1,1,1,3,33,19,2,144,230,0,24,0,0,0,5,1,0,0,0
Vesga,Athletic Club,1.504.970€,87,37,1356,2,0,1,3,33,9,4,116,204,0,16,0,0,1,4,1,0,0,0
Diakhaby,Valencia CF,1.503.125€,86,33,1945,0,1,0,1,81,11,2,179,209,0,35,0,0,1,11,0,0,0,2
Toni Moya,D. Alavés,1.502.070€,86,37,1385,0,1,4,29,17,20,2,118,232,0,27,0,0,1,2,0,0,0,0
Son,Levante UD,1.502.068€,85,35,1978,1,0,2,10,28,19,7,164,346,0,40,1,0,0,5,0,1,0,0
Saveljich,Rayo Vallecano,1.503.005€,85,27,1708,0,0,0,1,65,0,3,74,108,0,20,0,0,1,4,0,0,0,0
Melamed,RCD Espanyol,1.502.070€,85,35,1099,2,0,2,7,3,22,4,57,134,0,14,0,0,0,3,1,0,0,0
Zubeldia,Real Sociedad,1.520.784€,85,33,1648,0,1,1,1,52,3,2,118,145,0,25,0,0,1,7,0,0,0,0
Falcao,Rayo Vallecano,1.546.877€,84,26,831,6,0,1,2,11,3,16,20,89,0,12,0,0,0,1,0,0,0,0
Akapo,Cádiz CF,1.502.068€,84,30,1847,0,0,0,14,55,12,1,168,269,0,27,0,0,1,4,0,0,0,0
Bebé,Rayo Vallecano,1.506.858€,84,38,851,1,2,3,24,6,29,10,50,210,0,16,0,0,0,2,0,1,0,0
Keidi Bare,RCD Espanyol,1.502.069€,84,28,1486,1,1,1,1,26,8,1,105,157,0,20,0,0,0,9,0,1,0,0
Guardado,Real Betis,1.503.861€,84,35,1395,0,1,0,1,24,6,4,122,177,0,15,0,0,1,4,0,0,0,0
Dest,FC Barcelona,1.521.885€,84,25,1514,0,3,5,7,17,35,3,97,217,0,15,0,0,0,2,0,0,0,0
Tapia,RC Celta,1.502.545€,83,31,1401,0,0,0,1,38,5,3,137,209,0,19,0,0,0,10,0,0,0,0
Roberto Torres,C.A. Osasuna,1.504.945€,82,38,794,2,2,4,22,4,6,5,67,194,0,14,0,0,0,3,0,0,0,0
Édgar Méndez,D. Alavés,1.502.079€,82,32,1615,1,1,6,15,15,13,8,79,269,0,35,0,0,0,6,0,0,0,0
Lodi,Atlético de Madrid,1.573.994€,82,36,1175,2,2,3,9,15,18,4,77,186,0,13,0,0,1,4,0,0,0,0
