Nombre,Equipo,Precio,Puntos,Partidos,Minutos,Goles,Asistencias,Asistencias sin Gol,Centros,Despejes,Remates,Tiros,Recuperaciones,Perdidas,Penaltis fallados,Goles en contra,Rojas,Paradas,Penaltis cometidos,Amarillas,Seguna Amarilla,Penaltis provocados,Penaltis parados,Goles en PP
Doherty,Atlético de Madrid,1.180.824€,3,18,16,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Mario H.,Rayo Vallecano,1.068.424€,3,37,103,0,0,0,0,0,0,0,5,11,0,3,0,0,0,1,0,0,0,0
Vallejo,Real Madrid,1.329.803€,2,36,21,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Fran Delgado,Real Betis,1.068.750€,2,4,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mariño,UD Almería,1.183.342€,2,18,45,0,0,0,0,1,0,0,2,1,0,2,0,3,0,0,0,0,0,0
Joan García,RCD Espanyol,1.223.878€,2,36,90,0,0,0,0,0,0,0,9,4,0,3,0,1,0,0,0,0,0,0
Carlos Álvarez,Sevilla FC,1.073.014€,1,8,9,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
Milovanovic,UD Almería,1.074.331€,1,4,14,0,0,0,0,0,0,0,0,8,0,1,0,0,0,1,0,0,0,0
Balenziaga,Athletic Club,1.083.400€,1,30,116,0,0,0,1,2,0,0,7,21,0,3,0,0,0,0,0,0,0,0
Álvaro Giménez,Cádiz CF,1.068.427€,1,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juan Cruz,Real Betis,1.073.169€,1,10,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
Iago Herrerin,Valencia CF,1.152.174€,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Biel Farrés,Girona FC,1.093.401€,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mario Suárez,Rayo Vallecano,1.068.425€,0,34,10,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
Álex Sala,Girona FC,1.097.091€,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiko Casilla,Getafe CF,1.135.092€,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuoli,UD Almería,1.150.998€,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saveljich,Rayo Vallecano,1.068.432€,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cristian Rivero,Valencia CF,1.180.743€,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jaume Domenech,Valencia CF,1.163.509€,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rojas,UD Almería,1.116.934€,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diego Alves,RC Celta,1.233.288€,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diego Conde,Getafe CF,1.175.500€,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fuidias,Girona FC,1.178.844€,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zubiaurre,Real Sociedad,1.195.128€,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dani Martín,Real Betis,1.133.877€,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M. Morro,Rayo Vallecano,1.130.753€,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arnau Tenas,FC Barcelona,1.197.292€,-1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Pape Cheikh,Elche CF,1.188.331€,-3,11,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
